cell_height,light_count,lamp_count,light_device,lamp_type,light_power,time,days,marker
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,3,4,"""кристалл""",ЛБ,72,12,330,на замену
,4,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,8,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,3,0,vlsu- 36-400,CL,36,6,330,
,3,0,vlsu- 36-400,CL,36,6,330,
